,shading60,move_sequence,shading_move_0,shading_move_1,shading_move_2,shading_move_3,shading_move_4,shading_move_5,shading_move_6,shading_move_7,shading_move_8,shading_move_9,shading_move_10,shading_move_11,shading_move_12,read_sequence
SPC_3952,26.6,0100100001100,26.6,24.7,26.6,24.2,22.1,26.6,26.6,26.6,24.2,24.7,24.7,26.6,26.6,0001100010000
SPC_3953,27.4,0001110001001,27.4,25.2,25.2,25.7,23.1,25.7,27.4,25.2,25.2,25.7,25.2,27.4,23.1,0110100110101
SPC_3954,26.5,0110110110011,26.5,24.7,22.0,24.2,22.0,22.0,26.5,24.7,24.7,24.2,26.5,22.0,22.0,0011110001011
SPC_3955,26.8,0110100000011,26.8,22.3,24.9,26.8,24.9,24.5,24.5,24.5,26.8,26.8,24.5,22.3,22.3,0100011100111
SPC_3956,24.8,0011000000110,24.8,22.3,19.9,19.9,24.8,22.3,24.8,22.3,24.8,24.8,22.8,22.8,22.3,0111010100001
SPC_3957,23.2,0001100100110,23.2,20.5,23.2,18.1,18.1,23.2,20.5,21.1,20.5,20.5,18.1,18.1,20.5,0101101011111
SPC_3958,27.3,0110001011101,27.3,25.5,25.5,25.1,27.3,25.1,25.5,25.1,23.0,25.5,23.0,25.1,23.0,0001010110111
SPC_3959,24.9,0010011011111,24.9,24.9,22.9,22.4,24.9,20.1,20.1,22.4,20.1,20.1,22.9,20.1,20.1,0001011111011
SPC_3960,24.9,0101001110011,24.9,22.9,24.9,20.1,22.4,24.9,20.1,22.9,22.9,24.9,24.9,22.9,22.9,0001101000000
SPC_3961,25.4,0110111001010,25.4,23.5,20.7,25.4,20.7,23.5,20.7,23.0,23.0,20.7,25.4,23.5,25.4,0010101111000
SPC_3962,26.7,0001100010001,26.7,24.4,26.7,24.9,24.9,24.4,26.7,26.7,24.9,26.7,24.4,24.4,22.2,0100010000111
SPC_3963,26.3,0100000001000,26.3,24.4,26.3,23.9,23.9,26.3,26.3,23.9,23.9,24.4,26.3,23.9,26.3,0001100110010
SPC_3964,22.2,0011001111001,22.2,19.5,20.1,16.9,19.5,19.5,16.9,16.9,16.9,20.1,22.2,19.5,20.1,0101111110010
SPC_3965,25.5,0011110010101,25.5,25.5,20.8,20.8,20.8,20.8,23.1,23.1,23.6,25.5,20.8,25.5,23.6,0011111100100
SPC_3966,22.6,0110010101110,22.6,20.5,20.5,19.9,22.6,20.5,19.9,20.5,19.9,17.3,20.5,17.3,19.9,0001001011011
SPC_3967,25.5,0111100101110,25.5,23.6,20.9,20.9,20.9,25.5,25.5,23.6,23.1,23.6,20.9,23.6,25.5,0011100010100
SPC_3968,23.6,0110110010000,23.6,18.5,21.5,23.6,21.5,18.5,23.6,20.9,18.5,23.6,23.6,20.9,23.6,0100010110010
SPC_3969,26.0,0110001010010,26.0,24.1,24.1,23.6,23.6,23.6,24.1,23.6,21.4,26.0,26.0,24.1,26.0,0001110110000
SPC_3970,27.0,0010110010001,27.0,24.7,25.2,24.7,25.2,22.6,24.7,27.0,25.2,27.0,27.0,24.7,22.6,0101011000011
SPC_3971,25.8,0110000101011,25.8,21.2,21.2,23.4,25.8,25.8,23.4,21.2,23.4,24.0,25.8,21.2,21.2,0111001110011
SPC_3972,25.2,0101100110110,25.2,20.5,22.8,20.5,23.3,22.8,22.8,23.3,23.3,22.8,20.5,20.5,22.8,0111011001111
SPC_3973,25.8,0111110000101,25.8,23.9,23.9,21.1,21.1,21.1,23.4,23.4,23.4,23.4,23.9,23.4,21.1,0001111111011
SPC_3974,24.6,0110110010011,24.6,22.7,22.7,22.1,22.7,19.8,24.6,22.1,19.8,24.6,24.6,22.7,19.8,0001010110001
SPC_3975,24.6,0111110000110,24.6,19.7,19.7,19.7,19.7,22.6,22.1,22.1,24.6,24.6,19.7,22.6,24.6,0111101100100
SPC_3976,21.9,0110111001001,21.9,16.4,16.4,21.9,19.6,16.4,16.4,19.0,21.9,19.6,21.9,21.9,16.4,0110011100001
SPC_3977,23.9,0111010110011,21.3,21.9,21.9,21.9,23.9,21.9,21.3,21.9,21.9,21.3,21.3,18.9,21.9,1000001001110
SPC_3978,21.8,0101100011011,21.8,16.4,19.0,16.4,16.4,19.0,19.0,19.0,19.6,16.4,21.8,16.4,19.6,0111111101010
SPC_3979,25.5,0100100110111,25.5,20.9,23.1,25.5,20.9,25.5,25.5,20.9,20.9,23.1,23.6,23.6,20.9,0110100111001
SPC_3980,23.3,0011110100111,23.3,20.6,18.2,18.2,21.2,21.2,20.6,21.2,23.3,23.3,21.2,18.2,18.2,0111001000011
SPC_3981,27.1,0000000000011,27.1,24.8,24.8,27.1,24.8,24.8,27.1,24.8,27.1,24.8,27.1,25.3,22.7,0110110101001
SPC_3982,23.1,0100011001110,23.1,21.0,20.4,20.4,20.4,17.9,21.0,23.1,20.4,17.9,17.9,17.9,20.4,0011110011111
SPC_3983,27.7,0001110011001,27.7,27.7,25.5,23.5,23.5,23.5,25.5,27.7,23.5,26.0,25.5,25.5,26.0,0011111010110
SPC_3984,26.4,0111111001000,26.4,24.5,21.8,21.8,21.8,21.8,21.8,26.4,26.4,24.5,24.0,24.0,24.0,0011111000111
SPC_3985,27.1,0000110101100,27.1,24.9,27.1,24.9,22.8,22.8,24.9,25.4,24.9,25.4,25.4,24.9,27.1,0101111010010
