,shading60,move_sequence,shading_move_0,shading_move_1,shading_move_2,shading_move_3,shading_move_4,shading_move_5,shading_move_6,shading_move_7,shading_move_8,shading_move_9,shading_move_10,shading_move_11,shading_move_12,read_sequence
SPC_0001,24.7,0001111000001,24.7,24.7,24.7,19.9,22.7,19.9,22.7,22.2,24.7,24.7,24.7,22.2,22.7,0001010100010
SPC_0002,26.3,0000001100010,26.3,26.3,26.3,26.3,26.3,26.3,21.8,24.5,26.3,24.0,26.3,21.8,24.0,0000001001011
SPC_0003,27.7,0010001000010,27.7,27.7,23.4,27.7,25.4,27.7,23.4,27.7,27.7,27.7,27.7,25.9,27.7,0010101000000
SPC_0004,26.2,1000001010010,24.3,26.2,26.2,23.8,23.8,23.8,21.6,23.8,21.6,23.8,23.8,21.6,26.2,0001111111110
SPC_0005,26.0,0100001010010,26.0,21.3,26.0,26.0,26.0,23.6,21.3,23.6,24.1,26.0,26.0,21.3,23.6,0100011100011
SPC_0006,26.8,0010100110010,26.8,24.5,22.4,26.8,25.0,24.5,26.8,25.0,25.0,24.5,24.5,22.4,26.8,0110010001110
SPC_0007,24.6,0111000001010,24.6,19.7,19.7,22.6,22.0,24.6,24.6,24.6,22.0,22.6,24.6,22.6,22.0,0110100010001
SPC_0008,25.5,0101110000111,25.5,20.8,25.5,23.5,20.8,20.8,25.5,25.5,23.0,23.0,20.8,20.8,20.8,0100110011111
SPC_0009,26.6,0010001011010,26.6,26.6,22.1,26.6,26.6,26.6,22.1,26.6,24.8,22.1,24.3,22.1,24.3,0010001001111
SPC_0010,25.2,0111111110100,25.2,23.2,23.2,23.2,20.4,20.4,20.4,23.2,23.2,25.2,23.2,25.2,25.2,0000111000000
SPC_0011,23.5,0111010000011,23.5,18.4,21.4,21.4,20.9,18.4,20.9,23.5,23.5,20.9,20.9,18.4,18.4,0100111001111
SPC_0012,24.7,0101010101101,24.7,19.9,24.7,22.8,24.7,19.9,22.2,19.9,24.7,19.9,19.9,22.2,22.8,0100011101110
SPC_0013,25.5,0110110100100,25.5,20.8,23.6,25.5,20.8,23.6,25.5,20.8,25.5,25.5,23.6,23.1,23.1,0100100100011
SPC_0014,24.0,0101110010010,24.0,19.0,24.0,19.0,19.0,19.0,24.0,21.4,22.0,24.0,24.0,19.0,24.0,0101110100010
SPC_0015,28.0,0100110111110,28.0,26.3,25.8,28.0,23.8,26.3,28.0,23.8,23.8,23.8,26.3,23.8,25.8,0010100111011
SPC_0016,26.8,0010001000011,26.8,26.8,25.0,26.8,26.8,24.5,25.0,26.8,26.8,26.8,26.8,25.0,25.0,0000010000000
SPC_0017,27.2,0111001010010,27.2,22.8,22.8,22.8,27.2,24.9,22.8,24.9,25.4,24.9,27.2,25.4,24.9,0111011101001
SPC_0018,24.8,0110110010010,24.8,20.0,20.0,22.3,20.0,20.0,22.3,24.8,22.8,24.8,22.3,20.0,22.3,0111111000111
SPC_0019,25.2,0100001110111,25.2,23.2,25.2,25.2,25.2,22.7,20.4,23.2,23.2,25.2,20.4,23.2,23.2,0000011000100
SPC_0020,25.8,0101101111111,25.8,23.9,23.4,23.9,21.1,25.8,23.9,21.1,21.1,23.9,23.9,21.1,21.1,0010100110011
SPC_0021,27.7,0001101000100,27.7,25.5,27.7,26.0,26.0,27.7,26.0,25.5,27.7,27.7,26.0,25.5,25.5,0100000100011
SPC_0022,22.4,0010000010101,22.4,19.6,17.1,19.6,22.4,19.6,22.4,22.4,20.2,19.6,17.1,22.4,20.2,0111010001100
SPC_0023,26.2,0000000010000,23.9,26.2,26.2,26.2,26.2,26.2,26.2,23.9,24.4,26.2,23.9,23.9,23.9,1000000100111
SPC_0024,27.0,0010010010010,27.0,27.0,22.6,27.0,24.7,22.6,24.7,27.0,25.2,27.0,24.7,25.2,27.0,0010111000100
SPC_0025,23.1,0110001000011,20.4,21.0,21.0,23.1,23.1,23.1,21.0,20.4,20.4,23.1,23.1,21.0,17.9,1000000110001
SPC_0026,24.2,1000001011110,22.2,24.2,21.7,24.2,21.7,21.7,22.2,21.7,22.2,19.3,19.3,19.3,21.7,0010110101111
SPC_0027,26.1,0100010111000,26.1,24.3,26.1,23.8,26.1,24.3,23.8,21.6,21.6,24.3,23.8,26.1,23.8,0001001110101
SPC_0028,25.9,0000001101100,25.9,23.6,23.6,23.6,23.6,25.9,24.1,21.3,25.9,24.1,24.1,23.6,25.9,0111100100010
SPC_0029,25.1,0001001101000,25.1,25.1,25.1,23.2,22.7,22.7,23.2,23.2,22.7,23.2,25.1,25.1,25.1,0000110010000
SPC_0030,23.9,0000001111000,23.9,21.3,21.3,21.3,23.9,23.9,21.8,21.8,21.8,18.9,21.3,23.9,23.9,0111000001100
SPC_0031,21.9,0010010101111,21.9,19.1,19.7,19.1,21.9,19.7,19.1,19.7,19.1,19.7,16.6,16.6,19.7,0101001010110
SPC_0032,27.4,0110101101010,27.4,25.6,23.1,27.4,25.6,27.4,25.6,25.6,27.4,25.6,27.4,23.1,25.1,0010000000011
SPC_0033,23.7,0110011000100,23.7,18.7,18.7,21.1,21.1,21.7,18.7,23.7,23.7,21.1,18.7,21.1,23.7,0111101001110
SPC_0034,25.6,0100100110100,25.6,20.9,23.2,25.6,20.9,25.6,25.6,20.9,20.9,25.6,20.9,25.6,25.6,0110100110100
SPC_0035,22.9,0010110000001,20.2,22.9,20.7,22.9,20.7,20.7,22.9,22.9,20.2,22.9,20.2,22.9,20.7,1000000010100
SPC_0036,24.5,0100111100001,24.5,22.5,22.0,24.5,19.6,19.6,22.5,22.5,22.0,24.5,22.0,24.5,19.6,0010110010101
SPC_0037,24.4,0010001000000,24.4,21.9,19.5,24.4,21.9,21.9,19.5,24.4,21.9,24.4,24.4,24.4,21.9,0110111010001
SPC_0038,26.1,0100100110101,26.1,24.2,26.1,23.7,21.5,26.1,23.7,21.5,24.2,23.7,24.2,26.1,24.2,0001101101000
SPC_0039,25.9,0101001110101,23.5,24.0,25.9,24.0,25.9,25.9,24.0,24.0,24.0,25.9,24.0,23.5,24.0,1000000000010
SPC_0040,26.6,0100011000111,26.6,22.1,24.2,24.2,26.6,24.7,22.1,24.2,24.2,24.2,24.7,24.7,22.1,0111001111001
SPC_0041,27.2,0010111011000,27.2,27.2,22.9,27.2,22.9,25.4,25.4,27.2,25.4,22.9,25.0,27.2,27.2,0010100001100
SPC_0042,22.6,0011001010101,22.6,22.6,17.3,17.3,22.6,19.9,17.3,19.9,20.5,19.9,17.3,22.6,17.3,0011011101101
SPC_0043,25.7,0101010001111,25.7,23.8,23.2,21.0,25.7,23.8,23.2,23.2,25.7,23.8,21.0,23.8,21.0,0011001100101
SPC_0044,25.3,0100001010000,25.3,23.4,25.3,22.9,25.3,22.9,23.4,25.3,20.6,25.3,22.9,25.3,25.3,0001010010100
SPC_0045,26.3,0001010010111,26.3,26.3,24.0,21.8,26.3,21.8,24.0,24.0,21.8,24.0,21.8,21.8,21.8,0011011111111
SPC_0046,24.4,0001001111100,24.4,24.4,24.4,19.4,21.8,21.8,22.3,22.3,19.4,19.4,22.3,24.4,21.8,0001110011001
SPC_0047,23.3,0100101001111,23.3,18.2,23.3,23.3,21.2,20.7,21.2,20.7,20.7,18.2,18.2,21.2,21.2,0100010111100
SPC_0048,22.4,0100111001011,22.4,20.2,19.6,22.4,20.2,17.1,20.2,19.6,22.4,20.2,19.6,20.2,20.2,0010010100100
SPC_0049,22.0,0110000011101,22.0,16.6,16.6,19.2,19.2,19.2,22.0,22.0,19.8,16.6,16.6,19.2,16.6,0111110001111
SPC_0050,24.7,0001101100101,24.7,22.1,24.7,19.8,22.7,24.7,22.7,19.8,22.1,24.7,22.7,22.1,19.8,0101000110011
SPC_0051,24.8,0110011001101,24.8,22.8,22.8,24.8,24.8,19.9,22.8,22.3,24.8,19.9,22.8,22.3,19.9,0000010101011
SPC_0052,26.3,0011001110011,26.3,23.9,24.4,21.7,26.3,26.3,21.7,21.7,24.4,23.9,23.9,24.4,21.7,0101001101101
SPC_0053,23.3,0110101100010,23.3,21.2,18.2,20.6,21.2,20.6,18.2,21.2,20.6,23.3,23.3,21.2,20.6,0011011010001
SPC_0054,0.0,0101010111101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000000000000
SPC_0055,23.8,0010011100110,23.8,21.2,18.8,21.2,23.8,18.8,18.8,18.8,23.8,21.2,18.8,18.8,23.8,0111011101110
SPC_0056,25.3,0001010111110,25.3,22.9,25.3,23.4,25.3,20.6,22.9,23.4,20.6,20.6,23.4,23.4,22.9,0100011011001
SPC_0057,26.8,0000110001100,26.8,26.8,26.8,26.8,22.4,25.0,26.8,26.8,24.6,22.4,22.4,26.8,24.6,0000100011101
SPC_0058,26.0,0011011011101,26.0,26.0,24.1,24.1,23.6,24.1,21.4,23.6,21.4,24.1,21.4,23.6,24.1,0000101110110
SPC_0059,26.1,0010000101001,26.1,26.1,24.2,26.1,23.7,23.7,23.7,24.2,23.7,21.5,26.1,26.1,21.5,0000111011001
SPC_0060,26.9,0101010000000,26.9,25.1,26.9,22.5,24.6,25.1,24.6,24.6,26.9,26.9,24.6,26.9,26.9,0001101100100
SPC_0061,21.8,0111101110000,21.8,16.4,16.4,16.4,16.4,21.8,16.4,16.4,19.6,21.8,19.0,21.8,19.0,0111101100101
SPC_0062,25.1,0111111110101,25.1,20.3,23.1,20.3,20.3,20.3,23.1,23.1,20.3,22.6,20.3,22.6,20.3,0101110011111
SPC_0063,24.4,0011000110100,24.4,24.4,22.4,19.5,24.4,24.4,21.9,19.5,22.4,21.9,19.5,21.9,24.4,0001001101110
SPC_0064,24.4,0000010000000,24.4,24.4,24.4,24.4,24.4,19.5,21.9,21.9,21.9,21.9,24.4,24.4,21.9,0000011111001
SPC_0065,24.9,0011110101010,24.9,22.4,20.1,20.1,23.0,23.0,22.4,20.1,24.9,20.1,24.9,20.1,24.9,0111001101010
SPC_0066,22.6,0010001011101,22.6,19.9,17.4,19.9,19.9,22.6,20.5,19.9,17.4,20.5,17.4,22.6,17.4,0111100110101
SPC_0067,26.4,0111011010110,26.4,21.9,21.9,24.6,24.1,24.6,21.9,26.4,24.6,24.1,21.9,21.9,24.1,0110101001111
SPC_0068,26.5,0111100110100,26.5,22.0,24.7,24.7,22.0,24.2,24.2,24.7,24.7,26.5,24.7,26.5,26.5,0100111000000
SPC_0069,26.0,0100111111001,26.0,21.4,26.0,23.6,21.4,24.1,21.4,21.4,24.1,21.4,23.6,26.0,21.4,0101101101101
SPC_0070,26.8,0100001101101,26.8,25.0,26.8,26.8,24.5,24.5,25.0,25.0,24.5,25.0,25.0,24.5,22.3,0000110010011
SPC_0071,26.4,0010010100110,26.4,24.1,21.9,24.1,26.4,24.6,24.1,21.9,26.4,26.4,21.9,21.9,26.4,0111001100110
SPC_0072,25.5,0100111111111,25.5,20.8,25.5,23.0,20.8,20.8,23.5,23.5,20.8,20.8,23.5,23.5,20.8,0101110011001
SPC_0073,26.4,0111001111111,26.4,24.6,21.9,21.9,24.1,24.1,21.9,21.9,24.6,21.9,24.6,21.9,24.6,0011111101010
SPC_0074,26.4,0111011011000,26.4,24.6,21.9,24.6,26.4,24.6,21.9,24.1,24.6,24.6,26.4,26.4,26.4,0010001100000
SPC_0075,25.9,0111110000000,25.9,24.0,24.0,24.0,24.0,24.0,25.9,23.5,25.9,25.9,23.5,23.5,23.5,0000000100111
SPC_0076,24.2,0001110101010,24.2,21.7,21.7,19.3,22.2,22.2,21.7,19.3,21.7,22.2,21.7,19.3,24.2,0111001110110
SPC_0077,25.9,0100011001000,25.9,21.3,23.5,23.5,25.9,21.3,24.0,23.5,23.5,21.3,25.9,23.5,23.5,0111010111011
SPC_0078,25.6,0101100000101,25.6,20.9,23.1,20.9,20.9,25.6,25.6,23.1,25.6,25.6,20.9,25.6,20.9,0111100100101
SPC_0079,25.9,0110101011000,25.9,21.3,21.3,23.5,21.3,25.9,24.1,25.9,21.3,21.3,25.9,23.5,23.5,0111100011011
SPC_0080,22.6,0110001100111,22.6,17.3,17.3,22.6,22.6,19.8,17.3,20.4,19.8,19.8,17.3,17.3,17.3,0110011011111
SPC_0081,21.8,0010101111001,21.8,21.8,19.6,19.0,19.6,21.8,19.6,19.6,19.6,19.6,19.0,19.0,19.6,0001000000110
SPC_0082,23.2,0000001110111,23.2,23.2,23.2,23.2,23.2,20.5,21.1,21.1,21.1,20.5,21.1,21.1,18.1,0000010001001
SPC_0083,24.6,1000000001110,22.6,24.6,24.6,24.6,22.1,24.6,24.6,24.6,24.6,22.6,19.7,22.6,24.6,0000100000100
SPC_0084,25.1,0111110111010,25.1,20.4,23.2,23.2,23.2,23.2,22.7,23.2,23.2,23.2,22.7,20.4,22.7,0100001000111
SPC_0085,22.6,0000010101011,22.6,19.9,19.9,22.6,22.6,20.5,19.9,20.5,22.6,17.4,22.6,20.5,17.4,0110001001001
SPC_0086,25.2,0110101100101,25.2,20.4,23.3,25.2,20.4,25.2,23.3,23.3,25.2,25.2,23.3,22.7,23.3,0100100000010
SPC_0087,24.4,0111110110011,24.4,22.4,19.5,22.4,22.4,19.5,24.4,22.4,22.4,24.4,21.9,22.4,19.5,0010010000101
SPC_0088,24.7,0000010100010,22.2,24.7,24.7,24.7,24.7,22.7,24.7,22.7,24.7,22.2,22.2,22.7,22.2,1000000001101
SPC_0089,27.2,0100110010010,27.2,22.9,27.2,27.2,25.4,25.4,25.0,25.0,22.9,25.0,25.0,22.9,27.2,0100001111110
SPC_0090,23.9,1000000011011,21.8,23.9,23.9,21.3,21.3,21.3,23.9,21.3,18.9,18.9,21.3,21.8,18.9,0001110111101
SPC_0091,22.5,0000011000100,22.5,19.8,19.8,22.5,22.5,17.3,17.3,22.5,22.5,19.8,17.3,19.8,22.5,0110011001110
SPC_0092,24.0,0110100010000,24.0,19.0,22.0,24.0,19.0,21.4,21.4,24.0,22.0,24.0,21.4,24.0,24.0,0100111000100
SPC_0093,24.7,0111111111010,22.2,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.2,19.9,24.7,1000000000110
SPC_0094,25.6,0011111010000,25.6,25.6,20.9,20.9,23.7,20.9,20.9,25.6,23.7,23.2,25.6,23.2,23.2,0011011001011
SPC_0095,25.7,0000000110101,25.7,25.7,25.7,25.7,25.7,23.3,23.3,23.8,21.1,25.7,23.8,25.7,23.8,0000011010000
SPC_0096,23.1,0010100111001,23.1,23.1,18.0,20.4,21.0,20.4,23.1,21.0,21.0,21.0,23.1,23.1,18.0,0011010000001
SPC_0097,22.9,0010100000101,22.9,22.9,17.7,20.2,20.8,20.2,20.2,22.9,22.9,20.2,20.8,22.9,17.7,0011011001001
SPC_0098,23.2,0110110000101,23.2,18.1,18.1,23.2,18.1,18.1,20.5,23.2,23.2,23.2,21.1,20.5,21.1,0110111000010
SPC_0099,22.9,0001011100100,22.9,22.9,22.9,17.7,20.2,20.8,20.8,17.7,20.2,22.9,17.7,20.2,22.9,0001100110110
SPC_0100,25.6,0110001000010,25.6,23.6,20.9,23.1,23.1,25.6,23.6,25.6,23.1,23.1,25.6,20.9,23.1,0011100011011
SPC_0101,26.8,0010111010001,26.8,24.5,25.0,26.8,22.3,22.3,25.0,24.5,22.3,26.8,26.8,24.5,25.0,0100110110010
SPC_0102,24.4,0101001000100,24.4,22.4,24.4,19.5,24.4,21.9,19.5,21.9,21.9,24.4,19.5,21.9,21.9,0001011110111
SPC_0103,27.4,0110001100100,27.4,23.1,23.1,25.1,27.4,25.1,25.6,25.6,25.1,27.4,23.1,25.1,27.4,0111010010110
SPC_0104,23.8,0000010010101,23.8,21.2,23.8,21.2,23.8,18.8,21.2,21.2,18.8,23.8,18.8,21.2,18.8,0101011110111
SPC_0105,25.5,0010110000100,25.5,25.5,20.8,25.5,20.8,20.8,23.1,25.5,25.5,25.5,23.6,23.1,23.1,0010111000011
SPC_0106,25.5,0011101001011,25.5,23.0,20.8,20.8,23.5,25.5,20.8,25.5,25.5,20.8,25.5,20.8,20.8,0111001001011
SPC_0107,23.3,0100101011001,23.3,18.1,23.3,23.3,18.1,23.3,18.1,20.6,18.1,18.1,23.3,20.6,18.1,0100101111011
SPC_0108,27.2,0100100010000,27.2,22.8,27.2,24.9,25.4,24.9,27.2,27.2,22.8,27.2,27.2,24.9,24.9,0101010010011
SPC_0109,23.8,0000010011011,23.8,21.2,21.2,23.8,23.8,18.8,21.2,21.2,18.8,21.8,23.8,18.8,21.8,0110011110010
SPC_0110,26.7,0001111011010,26.7,24.3,24.3,24.8,22.2,22.2,22.2,24.3,24.8,24.8,24.3,22.2,26.7,0110111100110
SPC_0111,24.9,0010110011110,24.9,24.9,20.1,22.4,22.9,20.1,24.9,24.9,20.1,20.1,20.1,22.9,22.4,0011010011101
SPC_0112,27.7,0110101000100,27.7,23.4,25.9,25.5,23.4,27.7,23.4,25.5,27.7,25.5,25.9,27.7,27.7,0101101101000
SPC_0113,24.9,0010010101010,24.9,22.3,20.0,24.9,24.9,22.9,24.9,20.0,24.9,22.9,22.3,20.0,24.9,0110000100110
SPC_0114,25.8,0100011010011,25.8,21.1,23.4,23.4,23.4,23.9,21.1,25.8,21.1,23.4,23.4,23.9,23.9,0111101011100
SPC_0115,25.6,0011111111010,25.6,23.1,23.6,20.9,20.9,23.6,20.9,23.6,20.9,23.6,23.1,20.9,23.1,0101101010111
SPC_0116,25.2,0110001001001,25.2,20.4,20.4,22.7,25.2,22.7,23.2,25.2,22.7,23.2,25.2,22.7,20.4,0111010010011
SPC_0117,26.9,0111000011100,26.9,22.5,25.1,25.1,26.9,26.9,24.6,24.6,22.5,22.5,22.5,24.6,24.6,0100001111111
SPC_0118,25.1,0011000001011,25.1,22.6,20.3,20.3,25.1,22.6,25.1,25.1,25.1,23.1,22.6,23.1,20.3,0111010000101
SPC_0119,25.4,0111011110100,25.4,20.7,23.5,20.7,25.4,20.7,20.7,20.7,23.5,25.4,23.5,25.4,25.4,0101011100000
SPC_0120,23.9,0001100001110,23.9,21.3,21.3,18.9,21.8,21.3,23.9,23.9,23.9,18.9,18.9,18.9,23.9,0111010001110
SPC_0121,23.6,0111110101110,23.6,21.5,18.5,21.5,21.5,18.5,23.6,18.5,23.6,18.5,21.5,21.5,23.6,0010010101000
SPC_0122,25.5,0010101111010,25.5,25.5,20.8,23.1,20.8,23.1,23.6,23.6,23.6,23.6,25.5,20.8,23.1,0011110000011
SPC_0123,25.8,0111011101100,25.8,21.1,21.1,23.9,23.4,23.9,23.9,21.1,25.8,21.1,23.9,23.4,25.8,0110100101010
SPC_0124,25.4,0100011001001,25.4,23.5,25.4,25.4,25.4,23.5,20.7,23.0,25.4,23.5,23.0,23.0,20.7,0000001100111
SPC_0125,25.0,0110110010111,25.0,23.1,23.1,25.0,23.1,23.1,25.0,22.5,20.2,22.5,20.2,23.1,23.1,0000000111100
SPC_0126,25.3,0110011101010,25.3,23.4,23.4,25.3,22.8,23.4,23.4,20.6,25.3,23.4,25.3,23.4,25.3,0000100100000
SPC_0127,27.2,0000110110000,27.2,27.2,27.2,25.0,25.5,22.9,27.2,25.5,25.5,25.0,27.2,25.0,27.2,0001010001010
SPC_0128,22.4,0101110001001,22.4,20.2,22.4,17.1,20.2,20.2,22.4,19.6,22.4,17.1,19.6,22.4,17.1,0001000101101
SPC_0129,25.2,0011110000101,25.2,22.7,20.4,20.4,20.4,23.2,25.2,25.2,22.7,25.2,23.2,22.7,23.2,0111100010010
SPC_0130,27.1,0000010100111,27.1,24.8,24.8,27.1,24.8,25.3,27.1,22.7,27.1,27.1,22.7,22.7,25.3,0110100100110
SPC_0131,24.3,0001000100101,24.3,21.8,24.3,22.3,24.3,21.8,21.8,22.3,24.3,24.3,19.4,21.8,19.4,0100011000111
SPC_0132,24.2,0000110111010,24.2,24.2,21.7,21.7,22.2,19.3,21.7,22.2,22.2,22.2,21.7,22.2,21.7,0011011000101
SPC_0133,27.4,0101111000010,27.4,23.1,27.4,25.7,25.7,25.7,23.1,25.2,25.2,25.2,27.4,23.1,27.4,0100001111010
SPC_0134,23.0,0111000010111,23.0,20.8,20.8,20.8,23.0,20.3,20.3,23.0,20.8,20.3,20.8,17.8,20.8,0000011001010
SPC_0135,26.0,0111100010011,26.0,24.1,21.4,21.4,21.4,23.6,23.6,26.0,21.4,23.6,26.0,24.1,21.4,0011111011001
SPC_0136,26.3,0100001011100,26.3,21.8,24.0,26.3,26.3,24.0,21.8,24.0,24.5,24.5,24.5,24.0,26.3,0110011100010
SPC_0137,26.3,0110111010011,26.3,21.7,24.4,26.3,24.4,24.4,24.4,26.3,21.7,26.3,26.3,21.7,21.7,0100000010011
SPC_0138,25.6,0111100101111,25.6,23.7,20.9,23.7,20.9,25.6,23.2,23.7,25.6,23.7,23.7,23.7,20.9,0010101000001
SPC_0139,23.4,0010100100010,23.4,20.8,18.3,23.4,21.4,20.8,23.4,18.3,23.4,20.8,23.4,18.3,20.8,0110010101011
SPC_0140,23.0,0010110010111,20.3,23.0,20.9,23.0,20.9,20.9,23.0,23.0,17.8,20.3,17.8,17.8,17.8,1000000011111
SPC_0141,25.9,0000000011001,25.9,23.5,23.5,25.9,25.9,25.9,25.9,25.9,24.0,24.0,23.5,25.9,24.0,0110000000100
SPC_0142,23.3,0001111000111,23.3,23.3,20.7,18.2,21.2,21.2,21.2,23.3,23.3,20.7,18.2,21.2,21.2,0011000001100
SPC_0143,26.3,0010111110001,26.3,23.9,24.4,26.3,24.4,24.4,24.4,24.4,21.7,26.3,26.3,23.9,24.4,0100000010010
SPC_0144,24.5,0101000100011,24.5,22.5,24.5,22.5,24.5,24.5,24.5,19.7,22.0,24.5,24.5,22.5,19.7,0000000110001
SPC_0145,24.8,0010000010111,24.8,24.8,22.8,24.8,24.8,24.8,24.8,24.8,22.8,22.3,22.8,20.0,20.0,0000000001011
SPC_0146,27.9,0111010110110,27.9,26.1,23.6,26.1,25.7,23.6,27.9,26.1,23.6,27.9,23.6,26.1,27.9,0010110010100
SPC_0147,24.3,0010111111000,24.3,24.3,22.3,24.3,19.4,19.4,22.3,19.4,19.4,22.3,24.3,21.8,21.8,0000110110011
SPC_0148,27.5,0101011011111,27.5,23.2,25.2,25.7,27.5,23.2,25.7,27.5,25.7,23.2,23.2,25.7,25.7,0110010001100
SPC_0149,27.0,0010100110100,27.0,27.0,25.3,24.8,22.7,24.8,24.8,22.7,25.3,24.8,22.7,24.8,27.0,0001111101110
SPC_0150,23.5,0010110010011,23.5,23.5,21.4,20.8,18.4,21.4,20.8,23.5,18.4,20.8,20.8,18.4,21.4,0001101011110
SPC_0151,26.3,0001000110110,26.3,24.0,24.0,21.8,26.3,26.3,26.3,24.5,24.5,26.3,24.5,21.8,24.0,0111000000011
SPC_0152,25.3,0010000101101,25.3,22.8,20.5,25.3,25.3,25.3,22.8,20.5,22.8,20.5,23.3,22.8,23.3,0110001111010
SPC_0153,26.9,0010010010000,26.9,24.7,25.1,24.7,24.7,22.5,24.7,26.9,22.5,26.9,24.7,24.7,26.9,0101111010110
SPC_0154,24.5,0011000100000,24.5,24.5,22.5,22.5,22.0,24.5,24.5,22.5,22.0,24.5,24.5,22.0,22.0,0000100010011
SPC_0155,24.4,0111101111110,24.4,22.4,22.4,19.5,22.4,21.8,22.4,19.5,22.4,22.4,19.5,22.4,24.4,0001010100100
SPC_0156,24.0,0101101101101,24.0,19.1,24.0,19.1,19.1,24.0,19.1,22.0,24.0,19.1,19.1,24.0,19.1,0101101001101
SPC_0157,27.1,0001101001001,27.1,27.1,27.1,22.8,22.8,24.9,25.3,24.9,27.1,25.3,27.1,27.1,25.3,0001110100000
SPC_0158,24.5,0000011010010,24.5,22.0,22.0,22.0,22.0,22.5,22.5,22.0,22.5,22.0,22.0,19.6,24.5,0111100101110
SPC_0159,25.2,0000100110101,22.8,25.2,25.2,25.2,23.3,25.2,25.2,20.5,23.3,25.2,23.3,25.2,20.5,1000000100001
SPC_0160,24.0,1000001010111,22.0,21.4,24.0,21.4,24.0,24.0,19.0,21.4,19.0,24.0,19.0,19.0,19.0,0101001110111
SPC_0161,22.7,0110000010000,22.7,20.5,20.5,20.0,20.0,22.7,20.0,22.7,20.5,20.0,22.7,22.7,20.0,0001101001001
SPC_0162,22.6,0101101010111,22.6,17.4,19.9,17.4,20.5,22.6,17.4,19.9,20.5,19.9,20.5,20.5,20.5,0111001101000
SPC_0163,24.6,0110001001011,24.6,22.6,19.7,24.6,22.0,22.0,19.7,22.0,22.0,22.6,24.6,19.7,19.7,0010111110011
SPC_0164,25.4,0101111101101,25.4,23.4,22.9,23.4,23.4,20.6,20.6,20.6,25.4,20.6,20.6,25.4,20.6,0010011101101
SPC_0165,26.1,0100001010111,26.1,24.2,23.7,26.1,26.1,23.7,21.5,26.1,21.5,26.1,24.2,24.2,24.2,0010011010000
SPC_0166,22.7,0000000010011,22.7,20.0,20.0,22.7,22.7,20.0,20.0,20.0,20.5,22.7,20.0,17.4,17.4,0110011100111
SPC_0167,22.7,0110101110010,22.7,20.5,17.4,19.9,20.5,22.7,20.5,17.4,20.5,22.7,19.9,17.4,19.9,0011000100111
SPC_0168,24.6,0000111111010,24.6,22.1,24.6,24.6,22.7,22.7,19.8,19.8,22.7,19.8,24.6,22.7,24.6,0100001101000
SPC_0169,24.1,0111000111110,24.1,19.2,22.1,19.2,21.6,21.6,24.1,22.1,22.1,19.2,22.1,19.2,21.6,0101110001011
SPC_0170,27.8,0101111111000,27.8,26.0,27.8,23.5,23.5,23.5,23.5,26.0,26.0,26.0,27.8,27.8,25.6,0001111000001
SPC_0171,0.0,0101001010001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000000000000
SPC_0172,24.9,0010100011011,24.9,22.4,22.9,24.9,20.1,22.4,24.9,22.4,22.9,20.1,24.9,20.1,20.1,0100110101011
SPC_0173,24.2,0000001111111,24.2,24.2,21.6,21.6,24.2,24.2,19.2,22.1,22.1,19.2,22.1,22.1,22.1,0011001001000
SPC_0174,24.4,0101011000110,21.9,22.4,24.4,22.4,24.4,22.4,22.4,21.9,24.4,21.9,19.5,19.5,24.4,1000000101110
SPC_0175,25.4,1000000100011,23.5,25.4,25.4,23.0,23.0,25.4,23.0,20.7,23.0,25.4,25.4,23.5,23.5,0001101110000
SPC_0176,26.6,1000000111010,24.7,26.6,24.2,24.2,24.2,26.6,24.2,24.7,24.7,24.7,24.2,22.1,26.6,0011101000110
SPC_0177,25.9,0000110000100,25.9,25.9,23.6,23.6,21.3,21.3,23.6,25.9,25.9,23.6,24.1,23.6,23.6,0011111001011
SPC_0178,22.5,0110011001100,22.5,17.2,20.3,22.5,22.5,20.3,17.2,22.5,22.5,20.3,17.2,22.5,19.8,0100001000101
SPC_0179,25.5,0001110110110,25.5,23.1,25.5,20.9,23.6,23.6,23.1,20.9,20.9,25.5,20.9,23.6,23.1,0101001110101
SPC_0180,25.2,0001000011100,25.2,22.7,25.2,23.2,25.2,25.2,22.7,22.7,23.2,23.2,20.4,22.7,22.7,0100001100111
SPC_0181,24.2,0101001010101,24.2,19.2,21.6,19.2,24.2,24.2,19.2,21.6,22.2,24.2,19.2,24.2,22.2,0111001100100
SPC_0182,25.1,0110000010100,25.1,20.4,20.4,22.7,25.1,25.1,25.1,25.1,23.2,25.1,23.2,25.1,22.7,0111000000001
SPC_0183,27.4,0010110110111,27.4,27.4,23.0,27.4,25.6,23.0,27.4,23.0,23.0,25.1,25.6,25.6,23.0,0010010111001
SPC_0184,25.2,0000011101100,25.2,22.7,22.7,22.7,22.7,20.4,20.4,20.4,22.7,23.2,23.2,25.2,25.2,0111111110000
SPC_0185,27.4,0101100100001,27.4,23.1,27.4,23.1,25.6,27.4,25.1,23.1,25.1,25.1,27.4,27.4,25.6,0101001111000
